번호,카테고리,난이도,문제,정답,출처
kh-01,한국사,쉬움,1443년에 훈민정음을 창제한 조선의 왕은?,세종,한글 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0061508)
kh-02,한국사,쉬움,918년에 고려를 건국한 인물은?,왕건,고려 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0003424)
kh-03,한국사,쉬움,1592년 한산도 앞바다에서 학익진으로 일본 수군을 크게 무찌른 조선의 장수는?,이순신,한산도대첩 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0061676)
kh-04,한국사,보통,고려 후기의 승려 일연이 고조선부터 후삼국까지의 이야기를 모아 편찬한 역사서는?,삼국유사,삼국유사 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0026482)
kh-05,한국사,쉬움,3·1 운동이 일어난 해는?,1919년,3·1운동 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0026772)
kh-06,한국사,보통,1919년 4월 11일에 수립된 대한민국 임시정부가 있던 도시는?,상하이,대한민국 임시정부 수립 기념일 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0080590)
kh-07,한국사,어려움,조선의 기본 법전인 『경국대전』을 완성해 시행한 왕은?,성종,경국대전 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0002296)
kh-08,한국사,보통,"660년 황산벌에서 5,000명의 결사대를 이끌고 신라군에 맞선 백제의 장군은?",계백,황산벌전투 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0065183)
kh-09,한국사,보통,몸이 작아 '녹두장군'이라 불린 동학 농민 운동의 지도자는?,전봉준,전봉준 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0049437)
kh-10,한국사,보통,1377년 청주 흥덕사에서 금속활자로 인쇄되어 2001년 유네스코 세계기록유산에 등재된 책은?,직지심체요절,불조직지심체요절 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0025035)
kh-11,한국사,보통,1907년 네덜란드 헤이그의 제2회 만국평화회의에 이상설·이준·이위종을 특사로 보내 을사늑약의 부당함을 알리려 한 대한제국의 황제는?,고종,헤이그 특사 사건 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0063241)
wg-01,세계지리,쉬움,현재 국토 면적을 기준으로 세계에서 가장 넓은 나라는?,러시아,Russia - National Geographic Kids (https://kids.nationalgeographic.com/geography/countries/article/russia)
wg-02,세계지리,보통,유엔(UN) 추계에 따르면 2023년에 중국을 제치고 인구가 가장 많은 나라가 된 곳은?,인도,India poised to become world's most populous nation - UN News (2023) (https://news.un.org/en/story/2023/04/1135967)
wg-03,세계지리,보통,현재 오스트레일리아의 수도는?,캔버라,Australia - National Geographic Kids (https://kids.nationalgeographic.com/geography/countries/article/australia)
wg-04,세계지리,보통,1960년에 새 수도로 문을 연 브라질의 수도는?,브라질리아,"Brasília, Brazil - NASA Earth Observatory (https://science.nasa.gov/earth/earth-observatory/brasilia-brazil-43743)"
wg-05,세계지리,보통,에베레스트산 정상을 국경선이 지나는 두 나라는?,네팔과 중국,Remeasuring Mount Everest - National Geographic (https://www.nationalgeographic.com/science/article/remeasuring-mount-everest-the-worlds-tallest-mountain)
wg-06,세계지리,쉬움,사하라 사막이 있는 대륙은?,아프리카,"Deserts, facts and information - National Geographic (https://www.nationalgeographic.com/environment/article/deserts)"
wg-07,세계지리,쉬움,면적을 기준으로 세계에서 가장 넓은 대양은?,태평양,What is the biggest ocean? - NOAA National Ocean Service (https://oceanservice.noaa.gov/facts/biggestocean.html)
wg-08,세계지리,보통,1884년 국제 자오선 회의에서 경도 0°의 기준(본초 자오선)으로 정한 곳은?,영국 그리니치,"What is the Prime Meridian, and why is it in Greenwich? - Royal Museums Greenwich (https://www.rmg.co.uk/stories/time/what-prime-meridian-why-it-greenwich)"
wg-09,세계지리,보통,"대서양과 지중해를 잇고, 에스파냐와 모로코 사이에 있는 해협은?",지브롤터 해협,The Strait of Gibraltar Connects the Atlantic to the Mediterranean - NASA (https://www.nasa.gov/image-article/strait-of-gibraltar-connects-atlantic-mediterranean/)
wg-10,세계지리,쉬움,지중해와 홍해를 잇는 수에즈 운하가 있는 나라는?,이집트,Canal History - Suez Canal Authority (https://www.suezcanal.gov.eg/English/About/SuezCanal/Pages/CanalHistory.aspx)
wg-11,세계지리,보통,아프리카 동북부를 북쪽으로 흐르는 나일강이 이집트에서 흘러 들어가는 바다는?,지중해,Nile River - National Geographic Education (https://education.nationalgeographic.org/resource/nile-river/)
sc-01,과학,쉬움,원소 기호가 Fe인 원소는?,철,Iron - Royal Society of Chemistry Periodic Table (https://periodic-table.rsc.org/element/26/iron)
sc-02,과학,쉬움,원자 번호가 1인 원소는?,수소,Hydrogen - Royal Society of Chemistry Periodic Table (https://periodic-table.rsc.org/element/1/hydrogen)
sc-03,과학,쉬움,"태양과의 거리를 기준으로, 태양계 행성 가운데 태양에 가장 가까운 행성은?",수성,Mercury Facts - NASA Science (https://science.nasa.gov/mercury/facts/)
sc-04,과학,쉬움,식물 세포에서 광합성을 맡는 세포 소기관은?,엽록체,Chloroplasts and Other Plastids - The Cell (NCBI Bookshelf) (https://www.ncbi.nlm.nih.gov/books/NBK9905/)
sc-05,과학,보통,1953년 DNA의 이중 나선 구조를 밝힌 과학자들은?,왓슨과 크릭,1953: DNA Double Helix - National Human Genome Research Institute (https://www.genome.gov/25520255/online-education-kit-1953-dna-double-helix)
sc-06,과학,쉬움,1905년 논문에서 질량과 에너지의 관계(E=mc²)를 이끌어 낸 과학자는?,아인슈타인,September 1905: Energy and Mass are Equivalent - American Physical Society (https://www.aps.org/apsnews/2005/04/september-1905-energy-mass-equivalent)
sc-07,과학,보통,"공기를 이루는 비율을 기준으로, 공기에 가장 많이 들어 있는 기체는?",질소,Air Properties Definitions - NASA Glenn Research Center (https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/air-properties-definitions/)
sc-08,과학,보통,1928년 푸른곰팡이에서 페니실린을 발견한 과학자는?,알렉산더 플레밍,The Discovery of Penicillin—New Insights After More Than 75 Years of Clinical Use (PMC) (https://pmc.ncbi.nlm.nih.gov/articles/PMC5403050/)
sc-09,과학,보통,"'한 물체가 다른 물체에 힘을 가하면, 다른 물체도 크기가 같고 방향이 반대인 힘을 가한다'는 법칙은?",뉴턴의 운동 제3법칙,Newton's Laws of Motion - NASA Glenn Research Center (https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/newtons-laws-of-motion/)
sc-10,과학,쉬움,소리(음파)가 전달될 수 없는 곳은?,진공,Anatomy of an Electromagnetic Wave - NASA Science (https://science.nasa.gov/ems/02_anatomy/)
sc-11,과학,보통,적혈구 속에서 산소와 결합해 온몸으로 산소를 운반하는 단백질은?,헤모글로빈,Hemoglobin - MedlinePlus Medical Encyclopedia (https://medlineplus.gov/ency/article/003645.htm)
ac-01,예술과 문화,쉬움,루브르 박물관이 소장한 「모나리자」를 그린 화가는?,레오나르도 다빈치,La Joconde (Mona Lisa) - Louvre Collections (https://collections.louvre.fr/en/ark:/53355/cl010062370)
ac-02,예술과 문화,쉬움,흔히 '운명 교향곡'이라 불리는 교향곡 제5번 C단조를 작곡한 사람은?,베토벤,Symphony no. 5 (C minor) op. 67 - Beethoven-Haus Bonn (https://www.beethoven.de/en/work/view/6260401733894144/Sinfonie+Nr.+5+(c-Moll)+op.+67)
ac-03,예술과 문화,쉬움,1888년 프랑스 아를에서 「해바라기」를 그린 화가는?,빈센트 반 고흐,"Sunflowers - The National Gallery, London (https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-sunflowers)"
ac-04,예술과 문화,쉬움,"『햄릿』, 『오셀로』, 『리어왕』, 『맥베스』를 쓴 극작가는?",셰익스피어,희곡 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0066078)
ac-05,예술과 문화,보통,구경꾼들이 둥글게 둘러앉아 두 사람의 겨루기를 지켜보는 모습을 담은 김홍도의 풍속화는?,씨름,김홍도 필 풍속도 화첩 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0013639)
ac-06,예술과 문화,보통,1937년 「게르니카」를 그린 화가는?,파블로 피카소,Guernica - Museo Nacional Centro de Arte Reina Sofía (https://www.museoreinasofia.es/colecciones/obra/guernica/)
ac-07,예술과 문화,어려움,1853년 베네치아 라 페니체 극장에서 초연된 오페라 「라 트라비아타」의 작곡가는?,주세페 베르디,"Verdi, La traviata - Teatro La Fenice (https://www.teatrolafenice.it/en/event/giuseppe-verdi-la-traviata/)"
ac-08,예술과 문화,보통,1969년부터 집필해 1994년에 완간한 대하소설 『토지』의 작가는?,박경리,토지 - 한국민족문화대백과사전 (https://encykorea.aks.ac.kr/Article/E0059209)
ac-09,예술과 문화,보통,"'인상주의'라는 이름이 생기는 계기가 된 그림 「인상, 해돋이」를 그린 화가는?",클로드 모네,"Impression, soleil levant - Musée Marmottan Monet (https://www.marmottan.fr/en/notice/4014/)"
ac-10,예술과 문화,쉬움,제92회(2020년) 아카데미 시상식에서 작품상을 받은 한국 영화는?,기생충,The 92nd Academy Awards (2020) - Oscars.org (https://www.oscars.org/oscars/ceremonies/2020)
ac-11,예술과 문화,보통,교황 율리우스 2세의 의뢰로 바티칸 시스티나 성당의 천장화를 그린 화가는?,미켈란젤로,Sistine Chapel - Musei Vaticani (https://www.museivaticani.va/content/museivaticani/en/collezioni/musei/cappella-sistina/storia-cappella-sistina.html)
